"Variable1","Variable2","Correlation"
"True Theta","Estimated Theta",0.797060988907541
"True Theta","Raw Score",0.77438266594716
"True Theta","Weighted Score",0.837742780096926
"True Theta","Estimated Expected Score",0.838629401891932
"True Expected Score","Estimated Theta",0.809648989999434
"True Expected Score","Raw Score",0.794163845556196
"True Expected Score","Weighted Score",0.871476661732668
"True Expected Score","Estimated Expected Score",0.865219167004835
"Estimated Theta","Raw Score",0.920746733538265
