"Number.Items","Number.Students.Original","Number.Run","Alpha","Model.RMSEA","Model.SRMSR","Model.TLI","Model.CFI","RMSE.Item.Discrimination","RMSE.Item.Difficulty","RMSE.Theta","RMSE.EstExpSc.SimSumSc","RMSE.EstExpSc.WSc","RMSE.WSc.SimSumSc","RMSE.TrExpSc.SimSumSc","RMSE.TrExpSc.WSc","RMSE.TrExpSc.EstExpSc","R2.EstTh.SimSumSc","R2.EstTh.WSc","R2.EstExpSc.SimSumSc","R2.EstExpSc.WSc","R2.TrTh.SimSumSc","R2.TrTh.WSc","R2.TrExpSc.SimSumSc","R2.TrExpSc.WSc","CORR.2PLDiff.2PLDisc","CORR.EstTh.SimSumSc","CORR.EstTh.WSc","CORR.EstTh.EstExpSc","CORR.SimSumSc.WSc","CORR.SimSumSc.EstExpSc","CORR.WScvEstExpSc","CORR.TrTh.TrExpSc","CORR.TrTh.EstTh","CORR.TrTh.SimSumSc","CORR.TrTh.WSc","CORR.TrTh.EstExpSc","CORR.TrExpSc.EstTh","CORR.TrExpSc.SimSumSc","CORR.TrExpSc.WSc","CORR.TrExpSc.EstExpSc"
10,5000,8,0.780288997118892,0.00493355046778286,0.00965720669619525,0.99966575843806,0.999740034340713,0.0035142086302279,0.00223914855174691,0.437773419139199,0.467562653436664,0.677618128136972,0.497206405633281,1.05039948637507,1.14773278377709,0.905762008231624,0.977834463784921,0.990559016950435,0.982647395273244,0.998723229659018,0.788099666054733,0.802628093789936,0.804906675868505,0.82377384585584,-0.52502796878234,0.988855127804332,0.995268314049249,0.99352628260311,0.990831844533401,0.991285728371616,0.99936141093151,0.988330229671107,0.899629732522865,0.887749776713424,0.895895135487372,0.894233033970009,0.902152762722467,0.897165913233726,0.907619879605906,0.907609887540381
10,5000,9,0.81390492026042,0,0.00710674495897092,1.00039600573168,1,0.00354906496699946,0.00219795471458441,0.41803625744229,0.423645958440242,0.568196253047163,0.436306251289018,1.05360970321876,1.13414982692725,0.938717942234046,0.983515363268947,0.988425395932368,0.985731197116257,0.999847708179777,0.813392704261433,0.817388705771946,0.838049050259082,0.849882044506049,0.428032919583421,0.99172343083591,0.994195853910269,0.994149201725173,0.992818509453516,0.992839965511188,0.999923851190568,0.985938946698017,0.909917063885356,0.901882866153601,0.904095518057659,0.904158372005883,0.917384751035599,0.915450189938854,0.921890473161562,0.921913624299478
10,5000,10,0.762109267878892,0.00460344325155947,0.00903394388650374,0.99967273156766,0.999745457885958,0.00369118879846431,0.0027384634072804,0.486873144188933,0.554079205798673,0.769272516038964,0.634031760202561,1.05514458942869,1.2345776011204,0.874335592467836,0.96515070198473,0.977842679208014,0.95952850213388,0.997762334584286,0.736883121395846,0.748045933626547,0.787060084023427,0.816017388323575,0.0884856055481645,0.982420837515536,0.988859281803035,0.982592246262778,0.981152651802472,0.979555257315216,0.998880540697578,0.969531083601019,0.874705992769208,0.858418966120764,0.86489648723217,0.859185385142257,0.892817093060186,0.887164068266644,0.903336807798495,0.902955976079196
10,5000,11,0.810373311526914,0,0.00640371261959624,1.00069755304573,1,0.00411963276112374,0.00246582888582363,0.431665777875116,0.425834334524031,0.564026940265355,0.421987519711339,1.02642267729229,1.12633914363413,0.908267709156218,0.981922528288599,0.979840816880326,0.985075519307561,0.999234889114369,0.805141556253937,0.802805553781558,0.838489313463328,0.847970729102721,-0.157686301158595,0.990920041319479,0.989869090779344,0.987250077369228,0.993127082007693,0.992509707412255,0.999617371354844,0.980551644063993,0.904537532190762,0.897296804994834,0.895994170618067,0.893763450007093,0.911180970979372,0.915690621041478,0.920853261438934,0.920929655447256
10,5000,12,0.732318626487219,0,0.00812394685862447,1.00059164440672,1,0.00574342651047669,0.00379111113827164,0.463637623969976,0.576110375281212,0.846593293722701,0.686809814873731,1.06330921915556,1.25564083694083,0.871278474018489,0.964837140065488,0.990416458088641,0.956123639802556,0.999622705704666,0.750119427762169,0.771029421634019,0.764738229827424,0.79793060771719,-0.207062542987603,0.982261238197603,0.99519669316605,0.994940475629342,0.977618783463503,0.977815749414253,0.999811335055102,0.989707070975504,0.881730533623418,0.866094352690382,0.878082810237177,0.877993760585178,0.889535702956851,0.874493127375754,0.893269616474886,0.893573044819991
10,5000,13,0.801752544455225,0,0.00787562332166868,1.00068436604548,1,0.00285735271267498,0.00195617810177551,0.513160821661999,0.519506706057689,0.775210787942752,0.776042196546742,1.06151356048543,1.2957060003718,0.918675492166874,0.95930327075972,0.955817892247829,0.969154454521754,0.996635071619365,0.705615962286529,0.705599433663362,0.81228813766252,0.833890086973618,-0.76979180528254,0.979440284427651,0.977659394803644,0.963968706034177,0.989005057232055,0.984456425913181,0.998316118080523,0.933311790099328,0.856369572545415,0.840009501307294,0.839999662894791,0.828896235281041,0.88749257161317,0.901270291123879,0.913175824786015,0.913085998051496
10,5000,14,0.843494511711606,0,0.00829379609547403,1.00004183841657,1,0.00482848832187776,0.00218875799436678,0.430946916279839,0.401508364835881,0.538066698245334,0.435900003189143,1.06967195848228,1.15114754585735,0.959918059408365,0.9686783542977,0.971108537163631,0.985969647829417,0.998666377875261,0.78955465601633,0.793835204040357,0.854660875635622,0.866881680074273,-0.490031126608475,0.984214587525353,0.985448393962683,0.979684800806353,0.993816179260476,0.992960043420387,0.999332966470766,0.962517716137205,0.903172333377133,0.888568880850737,0.890974300437649,0.885842568442212,0.915363444711233,0.924478704803752,0.931064809814158,0.93110352367006
10,5000,15,0.788846005475716,0,0.00863763943462197,1.00003286581525,1,0.00388263488386621,0.00225597719821999,0.468034314878936,0.491272302497659,0.647880142080407,0.526419359768798,1.0573659730073,1.18127593068693,0.915840378253308,0.978233193395899,0.968593325374303,0.976625791652876,0.999039339282095,0.764593759317835,0.758196975981267,0.808549701452722,0.825147246806844,-0.188615775951977,0.98905671899841,0.984171390243744,0.979544830416715,0.990246912653927,0.988243791608567,0.999519554226978,0.970936509408817,0.884961836699597,0.874410521047085,0.870745069455617,0.866676434425273,0.894649090622545,0.89919391760216,0.908376159312233,0.907963037266751
10,5000,16,0.81946303917702,0,0.0088198288790107,1.00006575048173,1,0.00405403708334836,0.00192460261261017,0.415004789107634,0.391032497244031,0.511531116511516,0.353477499050177,1.04605228252597,1.10989473888819,0.949561567069134,0.986436151263917,0.988069682244079,0.990456340406695,0.999429458475191,0.817292001790198,0.817943764770815,0.840973370207911,0.847768514353669,0.294143850455615,0.993194921082422,0.994016942634319,0.993640161660885,0.994826531103818,0.995216730369167,0.99971468853628,0.985829732644096,0.910686906271867,0.904042035411075,0.904402435186248,0.903922223727917,0.915960553643733,0.917046002231029,0.920743457404759,0.920821739120674
10,5000,17,0.865294625853943,0.00429896539194163,0.00799222415783995,0.999884125766534,0.999909875596193,0.0036530038856589,0.00251755785822687,0.39841612722677,0.372568293097898,0.572019469925687,0.549678362784356,1.03591099439716,1.18755599495124,0.956540522971755,0.979670954706021,0.973978649030243,0.988163034909259,0.999574159428303,0.82359824183208,0.81778341255049,0.887609488045014,0.895179808706014,-0.705354750022846,0.989783286738072,0.986903566226328,0.983458799056747,0.995146752230959,0.994063898805937,0.9997870570418,0.963375100322177,0.915908530996497,0.907523135700727,0.904313779918503,0.901192501141908,0.933519724410339,0.942130292499405,0.946139423502696,0.946029988481964
