"Variable1","Variable2","Correlation"
"True Theta","Estimated Theta",0.871205771915708
"True Theta","Raw Score",0.84787758462058
"True Theta","Weighted Score",0.903412633234061
"True Theta","Estimated Expected Score",0.920700011666004
"True Expected Score","Estimated Theta",0.853916757383268
"True Expected Score","Raw Score",0.871831304352884
"True Expected Score","Weighted Score",0.953147481261274
"True Expected Score","Estimated Expected Score",0.946734839725327
"Estimated Theta","Raw Score",0.882889523468155
