"Number.Items","Number.Students.Original","Number.Students.Removed","Number.Run","Alpha","Model.RMSEA","Model.SRMSR","Model.TLI","Model.CFI","RMSE.Item.Discrimination","RMSE.Item.Difficulty","RMSE.Theta","RMSE.EstExpSc.SimSumSc","RMSE.EstExpSc.WSc","RMSE.WSc.SimSumSc","RMSE.TrExpSc.SimSumSc","RMSE.TrExpSc.WSc","RMSE.TrExpSc.EstExpSc","R2.EstTh.SimSumSc","R2.EstTh.WSc","R2.EstExpSc.SimSumSc","R2.EstExpSc.WSc","R2.TrTh.SimSumSc","R2.TrTh.WSc","R2.TrExpSc.SimSumSc","R2.TrExpSc.WSc","CORR.2PLDiff.2PLDisc","CORR.EstTh.SimSumSc","CORR.EstTh.WSc","CORR.EstTh.EstExpSc","CORR.SimSumSc.WSc","CORR.SimSumSc.EstExpSc","CORR.WScvEstExpSc","CORR.TrTh.TrExpSc","CORR.TrTh.EstTh","CORR.TrTh.SimSumSc","CORR.TrTh.WSc","CORR.TrTh.EstExpSc","CORR.TrExpSc.EstTh","CORR.TrExpSc.SimSumSc","CORR.TrExpSc.WSc","CORR.TrExpSc.EstExpSc"
10,5000,177,1,0.766952343530226,0,0.00771017761074377,1.00053786451297,1,0.00858255556872783,0.00217220396814374,0.456894077745397,0.104947332952983,0.734153276887569,0.767618767233369,0.836804318373805,1.11272919954644,0.832792684903011,0.988138919678697,0.990048954274065,0.996807589834492,0.990552640990619,0.78028924966362,0.785794634442553,0.785466378091773,0.783093672076896,-0.948908806633028,0.994051769114012,0.995012037250839,0.995836238655593,0.993225790637283,0.998402518944385,0.995265110907952,0.994862864646628,0.886886487913566,0.883339826829755,0.886450582064535,0.884797106870028,0.884667666682656,0.886265410637116,0.884925800322771,0.887638297279279
10,5000,400,2,0.843104351042623,0,0.00728053819345697,1.00037497178169,1,0.00735475372175561,0.00166999294901701,0.384458670847317,0.179093791495639,0.389305277823181,0.447498123917285,0.96378923819423,1.06469068820111,0.957949320831617,0.976167463277559,0.981256164085208,0.994780724052668,0.999194062005635,0.824529624720595,0.827712501978884,0.845811808163276,0.849056987498051,-0.792115036781009,0.988011874056966,0.990583749152593,0.992798688450188,0.997344369696355,0.997386948005972,0.999596949778077,0.991319731825053,0.909503996011347,0.908036136241611,0.909787064086363,0.910736512085877,0.913198475789148,0.919680274966945,0.921442883470295,0.921550762255772
10,5000,240,3,0.808844704515298,0.00494826131824066,0.00716320170646356,0.999747145906467,0.99980333570503,0.00529875200333264,0.00103638843710734,0.41798628201574,0.106311279687192,0.562321607231929,0.595180426183111,0.900582543352876,1.0807761537917,0.899932499544987,0.987032105695055,0.994138028681375,0.997651412383567,0.996098176795722,0.805412028382843,0.811157400777355,0.823151870957607,0.822662631676617,-0.927822667982157,0.993494894649719,0.997064706366329,0.994669845985001,0.996704047547916,0.998825015897964,0.998047181648103,0.993085995264864,0.900497913971627,0.897447507313293,0.900642770901624,0.898135600260039,0.902636149320486,0.907277174273445,0.907007514674833,0.907962885333396
10,5000,283,4,0.840600068739037,0,0.0053663686003072,1.00062953355736,1,0.00545118252192421,0.00247988570542084,0.428583602307724,0.138875992999248,0.508637227152945,0.555354481184792,0.944986734160962,1.10075359556499,0.948574391404321,0.954749115476968,0.944098265939626,0.997011090216771,0.998413734468206,0.814617589657761,0.81085791411667,0.851676314234616,0.853652683974293,-0.898815729344222,0.97711264216413,0.971647192112253,0.979508581334342,0.997941568097558,0.998504426738696,0.999206552454599,0.983024970361551,0.899781120427441,0.902561681913076,0.900476492817369,0.903634506305371,0.898040615474267,0.92286310698533,0.923933268139151,0.923327804226995
10,5000,100,5,0.789135866730137,0,0.00642870353623433,1.00069147578314,1,0.00919838832904134,0.0027436696242468,0.463208272120508,0.157354507743494,0.831960129963949,0.879423301025512,0.892816714013496,1.2544628277888,0.888824841397457,0.984059771488446,0.971580166524629,0.994894275672222,0.993210913920107,0.810203764508196,0.804263363175681,0.826468521641328,0.829102593190693,-0.949217427267201,0.991997868691483,0.985687661749212,0.994035502241901,0.993793043682295,0.997443870938221,0.996599675857918,0.992604275138428,0.901368205642312,0.900113195386112,0.89680731663813,0.901900800886291,0.903714577445271,0.90910314136589,0.910550708742075,0.911130836065529
10,5000,345,6,0.819115049325182,0,0.00663954809897473,1.00023222708348,1,0.00877053001911359,0.00154990666731529,0.390498455255454,0.0638273672315302,0.43107326556608,0.451097989614188,0.896195693695375,0.97674315500693,0.893228724735224,0.987916872595568,0.996233133532381,0.999118424203037,0.997501185266924,0.808573622643982,0.814201432840034,0.816862459497291,0.815898378591828,-0.949995970099224,0.99394007495199,0.998114789757361,0.994485686400734,0.99827618256925,0.999559114911688,0.998749811147378,0.994430258491495,0.902748612584982,0.899207218967899,0.902331110424568,0.899679554305848,0.899634742333259,0.903804436533308,0.903270933104696,0.904193542491584
10,5000,237,7,0.775528058852207,0,0.00725255328481385,1.00015642718951,1,0.0063607882506678,0.00173672518323315,0.463511127437332,0.0967744765390395,0.720062261892692,0.751300097036982,0.83756229256278,1.10370585004715,0.834587459367789,0.977170420529005,0.980568549952521,0.997201695355579,0.988954130664694,0.761153476928013,0.768088372910049,0.779926156123984,0.776264294176626,-0.972114149884805,0.988519307109884,0.990236613114523,0.989707261663303,0.992485719838562,0.99859986749227,0.994461729110122,0.987538587499283,0.87604819276046,0.872441102268809,0.876406511220705,0.873159187400111,0.874093616182454,0.883134279780819,0.88105862130543,0.883778353398708
10,5000,271,8,0.821990354487339,0.00587663832338163,0.00764923818545754,0.999693942239907,0.999761955075484,0.0054761626603448,0.00116778836750497,0.429129189091703,0.178342968964195,0.586984362880894,0.636791330454199,0.900650166495304,1.09478263212056,0.893247820789758,0.95526505198712,0.943841818220539,0.993654711490711,0.997053743051973,0.80337788641286,0.799012275243924,0.833991251260057,0.839267453591019,-0.905776263387698,0.977376617270497,0.971515217698899,0.982721742482272,0.995862193859882,0.996822306878569,0.998525784870863,0.985174996795692,0.898459727936692,0.896313497841497,0.893874865539872,0.899585083465498,0.892652157729885,0.913231214567295,0.916115414994759,0.915543357642917
10,5000,886,9,0.879522833354226,0.00728626629997794,0.00795643665661162,0.999711987062042,0.999775989937144,0.00515254631193216,0.000672090717468471,0.34692744690335,0.0547090585674859,0.156212134967523,0.174865211742802,1.02722116910584,1.03866434028095,1.02779912417294,0.965524912005188,0.960426420610435,0.999529293205593,0.999743701997568,0.782859662070801,0.779803199036421,0.835203604366857,0.835482847987573,-0.861637477606948,0.982611272073137,0.980013479810576,0.982906116945575,0.999636620277033,0.999764618900666,0.999871842786649,0.974726811865676,0.891347147253722,0.88479357031502,0.883064662998368,0.884895283379142,0.894831539374406,0.913894744687186,0.914047508605309,0.913859836852776
10,5000,132,10,0.801139267428735,0,0.00642862475510838,1.0000893662287,1,0.0079219172389114,0.00210431255110404,0.432486104252153,0.0931888473952571,0.579417189755969,0.609275061485101,0.880501467406626,1.04525980800239,0.875254293392483,0.985785252985666,0.987126411831954,0.998270187469107,0.996148099181248,0.822590800352027,0.82423777276158,0.836282451196591,0.838202073448458,-0.96354400559026,0.992867187989243,0.993542355328626,0.993456105720038,0.997009542252882,0.999134719379277,0.998072191367562,0.993720611210359,0.908274523197896,0.906967915833867,0.907875416982738,0.90803812797806,0.90973861759022,0.914484800965326,0.915533764231805,0.915790670403745
