"Number.Items","Number.Students.Original","Number.Students.Removed","Number.Run","Alpha","Model.RMSEA","Model.SRMSR","Model.TLI","Model.CFI","RMSE.Item.Discrimination","RMSE.Item.Difficulty","RMSE.Theta","RMSE.EstExpSc.SimSumSc","RMSE.EstExpSc.WSc","RMSE.WSc.SimSumSc","RMSE.TrExpSc.SimSumSc","RMSE.TrExpSc.WSc","RMSE.TrExpSc.EstExpSc","R2.EstTh.SimSumSc","R2.EstTh.WSc","R2Del.EstTh.add.SimSumSc","R2Del.EstTh.add.WSc","R2.EstExpSc.SimSumSc","R2.EstExpSc.WSc","R2Del.EstExpSc.add.SimSumSc","R2Del.EstExpSc.add.WSc","R2.TrTh.SimSumSc","R2.TrTh.WSc","R2Del.TrTh.add.SimSumSc","R2Del.TrTh.add.WSc","R2.TrExpSc.SimSumSc","R2.TrExpSc.WSc","R2Del.TrExpSc.add.SimSumSc","R2Del.TrExpSc.add.WSc","CORR.EstTh.SimSumSc","CORR.EstTh.WSc","CORR.EstTh.EstExpSc","CORR.SimSumSc.WSc","CORR.SimSumSc.EstExpSc","CORR.WScvEstExpSc","CORR.TrTh.TrExpSc","CORR.TrTh.EstTh","CORR.TrTh.SimSumSc","CORR.TrTh.WSc","CORR.TrTh.EstExpSc","CORR.TrExpSc.EstTh","CORR.TrExpSc.SimSumSc","CORR.TrExpSc.WSc","CORR.TrExpSc.EstExpSc"
20,5000,30,8,0.809419278596437,0,0.00965148880841217,1.00003474752997,1,0.00867937254467869,0.00287538690920642,0.427231562857076,0.663762326402521,0.351131734008074,0.788821328166289,1.55024123746128,1.33358454680617,1.38291105064156,0.956155490875917,0.974277635081433,0.00370062622921175,0.0218227704347276,0.966253713497288,0.992847267904168,0.00174397382616831,0.0283375282330484,0.806325852070715,0.826175299510755,0.00194888560602147,0.0217983330460619,0.815571266993263,0.843880442789252,0.000551235387651894,0.0288604111836412,0.977832036126817,0.987055031435144,0.994433388504855,0.9777185527764,0.98298205146243,0.996417215780703,0.994861926148552,0.914294431828819,0.897956486735696,0.90894185705729,0.913415220428829,0.912154180786433,0.903089844363928,0.918629654860571,0.919244554878103
20,5000,65,9,0.836750587830921,0.00776884320048399,0.0111770057843221,0.99885855604388,0.998978708039261,0.00760390344256968,0.00190073223371178,0.392300519404094,0.448388187867867,0.477834222806299,0.704333331904906,1.45499736257163,1.29622440814069,1.36291639869392,0.976270010479726,0.975597405369935,0.00629757703010614,0.00562497192031497,0.985231018324976,0.993162961767953,0.00272278949876803,0.0106547329417452,0.833143042665441,0.837108086342294,0.00330736387200092,0.0072724075488545,0.842956201850392,0.854852233934864,0.000940230978339063,0.0128362630628109,0.988063768427791,0.987723344550454,0.994740025008122,0.987867222695344,0.99258804059135,0.996575617686863,0.994309782663783,0.922259122261126,0.912766696733312,0.914936110524824,0.919362924121237,0.91946756940545,0.918126462885366,0.924582194255796,0.925682367438413
20,5000,60,10,0.847108523670082,0,0.00959827317985653,1.00018944377692,1,0.0096433021766161,0.00240038133482824,0.392113246204974,0.4929367108113,0.421032240067829,0.672805901224869,1.60708398385742,1.45980010241693,1.51093059096772,0.978015545700738,0.99585133648261,2.6658219527409e-06,0.017838456603824,0.985565065656098,0.997665779837889,0.000414863663741105,0.0125155778455325,0.838911550332068,0.855031453791273,2.3433224232039e-05,0.0161433366834371,0.846030974094255,0.858860377952688,8.07753707253722e-05,0.0129101792291588,0.988946684963724,0.997923512340805,0.996407411246823,0.991220817741441,0.992756297213016,0.998832208049925,0.99673091670848,0.924959493691903,0.915921148534124,0.924679108551325,0.923582140168031,0.923886207762367,0.919799420577255,0.926747202829708,0.927305060698698
20,5000,49,11,0.837431015491432,0.00175730170625073,0.0119085234235842,0.999943458541882,0.999949410274315,0.00672418860009964,0.00319095547959326,0.396119482882304,0.500685131300115,0.902667628441103,1.05432109169531,1.41350472833841,1.51462326409133,1.31402437181362,0.967432015559339,0.961773167256255,0.00968834786092299,0.00402949955783904,0.980444815236863,0.993739589159776,0.00170613277352827,0.0150009066964421,0.833526731265487,0.833252674613457,0.00579993596764261,0.00552587931561233,0.843927559178771,0.859431127778933,0.000630696733782687,0.0161342653339442,0.983581219604837,0.980700345292208,0.992627916147923,0.98650362529107,0.990174133795093,0.996864880091468,0.992987420526314,0.923662418450445,0.912976851440105,0.912826749505873,0.921370469314327,0.918415820289284,0.918655299434326,0.927055083465342,0.927965352059156
20,5000,59,12,0.813983538643583,0,0.00994746792422512,1.00057152122965,1,0.00705429050221148,0.00285696228380797,0.42605402352015,0.642493648362144,0.786605724022085,1.062764949729,1.59560385380362,1.50269867340616,1.43973127355873,0.954789231508454,0.955622685107005,0.0108269056782446,0.0116603592767959,0.970440616479454,0.987912855267954,0.0044414973678254,0.0219137361563253,0.804125590945745,0.812574386544676,0.00575631774913532,0.0142051133480663,0.816904180888196,0.839955040532723,0.00162900886608885,0.0246798685106161,0.977133169792354,0.977559555785224,0.991488246914003,0.976739986471915,0.985109443909383,0.993938054039564,0.992411292543585,0.912647360314434,0.896730500733495,0.901429080152552,0.910148612862146,0.907431467678039,0.903827517222283,0.916490611262725,0.917934085969347
20,5000,15,13,0.77572663403601,0,0.0101120169151691,1.00031452756955,1,0.00991219179101726,0.00523084104520856,0.459653052167293,0.713824972443567,0.360642867933275,0.837197007187994,1.39106884972582,1.16565009304671,1.19218369888194,0.923169188066624,0.937866626242094,0.00970423733461223,0.0244016755100832,0.947800186304909,0.989482349574872,0.00247400048722113,0.0441561637571838,0.783748232394487,0.798663605335795,0.00734252113072997,0.0222578940720382,0.801608075313736,0.840892851093122,0.00141021666350716,0.0406949924428925,0.960816937853733,0.96843514302306,0.985002341741021,0.965733147684084,0.973550299832993,0.994727273967529,0.987727677370628,0.904833980151412,0.885295562168075,0.893679811417822,0.905702609533618,0.899032225511819,0.895325681142754,0.917002099830268,0.918315703938311
20,5000,54,14,0.854261502496308,0,0.00857204244153561,1.00043117705371,1,0.0106239442091924,0.00277889050430423,0.373141669970192,0.398098639453533,0.482242942166723,0.664630669443747,1.5071158823936,1.37758466220775,1.44261823797035,0.981855161189715,0.986172391174452,0.00178773875751337,0.00610496874225031,0.99069733444691,0.995881524950048,0.00152612360831961,0.00671031411145706,0.857493778600747,0.862327124755945,0.00121205185695039,0.00604539801214865,0.865468238968879,0.872138657118756,0.000734239243370682,0.00740465739324769,0.990886048539243,0.993062128557147,0.99561726225213,0.992659249032419,0.995337799165143,0.997938637868105,0.9962045704182,0.932595121290481,0.926009599626671,0.928615703483387,0.930198210153489,0.93051210188701,0.930305454659317,0.93388364217324,0.934557995098376
20,5000,18,15,0.815086170133975,0,0.00853976949044736,1.00136203126488,1,0.00904078850138423,0.0068048223494081,0.440968070492238,0.615120047598715,0.293639040188678,0.70911231797995,1.58469634766143,1.40455077016546,1.44878967735567,0.961537752625041,0.984210543378575,0.00081864931660347,0.0234914400701379,0.972636155617464,0.995850951727163,0.000785204213389568,0.0240000003230889,0.812060251830428,0.831025192615762,0.000720089159761184,0.0196850299450952,0.817890236190105,0.839982783940748,0.00032934631346615,0.0224218940641099,0.980580314214518,0.992073859840372,0.994577977342551,0.983141169135528,0.986223177388092,0.997923319562763,0.996872041906272,0.912421585074583,0.901143857455862,0.911605831824129,0.913480094377249,0.910795367712285,0.904372841360302,0.916505746812724,0.916926650743515
20,5000,72,16,0.844849487136615,0,0.00927339171044842,1.00040796242249,1,0.00666570126086244,0.00166982503284817,0.385722537208737,0.467576899790981,0.637260108107565,0.819355146068525,1.54898172070535,1.48366532050903,1.4559744415164,0.982060196979094,0.992106622759487,0.0012848581066619,0.0113312838870551,0.985868844491722,0.994905027204379,0.00156553145589589,0.0106017141685527,0.841951394296821,0.854131667858413,0.00039085070534528,0.0125711242669372,0.844159985752086,0.856173829731646,0.00042191025789684,0.0124357542374564,0.990989503970196,0.996045492314225,0.998412230024366,0.98979607685433,0.992909283112874,0.997449260466104,0.998923218333888,0.925636707150938,0.917579094300225,0.924192440922567,0.925286716042299,0.924987777972357,0.91878179441698,0.925296617162111,0.92638178816146
20,5000,60,17,0.83852684121464,0,0.00942147237668979,1.00036207778427,1,0.0103744832789594,0.00264429457082862,0.389702392226569,0.53846939869109,0.382904319197971,0.692454058553156,1.44637255356246,1.31118396258774,1.33265885923909,0.974200678280211,0.983533358900828,0.00305413408539845,0.0123868147060151,0.978316969783541,0.996110196041582,0.000926955942210927,0.0187201822002515,0.83823474639811,0.850505063553778,0.00142033065262848,0.0136906478082967,0.84325184402416,0.861672275856256,0.000340805201500483,0.0187612370335963,0.98701604763054,0.991732503702903,0.996963548343846,0.985928985089875,0.989099069751631,0.998053203011534,0.996667692567085,0.924571929519758,0.91555160771969,0.922228314222556,0.925024750128436,0.924364119228401,0.918287451740554,0.928263042384138,0.92854706888002
