"Est.Theta","Est.ExpScore","SimSum.Score","Scaled.Weighted.Score"
-0.638934328893511,17.8443390464562,18,17.6014769021759
-1.38507873507086,12.8028935773874,13,11.797857253185
-0.228553661554306,20.3556219136381,20,20.4521396982538
-1.50638485868856,11.9831182092813,11,10.8474413098819
1.85763371348462,27.5761199883119,29,29
-1.57831207119835,11.5028956049806,10,10.2905467869915
-0.895441391963539,16.148353741264,17,15.6596581874749
-0.423185648845314,19.2007324678846,19,19.1448961935327
-0.969874759118252,15.6440854539582,16,15.0799948428426
0.443413724517317,23.7395929862272,23,24.2738208433172
-1.05700101395184,15.049544142687,16,14.3953252815611
0.0508908348090173,21.8833362415365,21,22.1747815866766
-1.20246154136849,14.0518708820454,14,13.2436407869876
-1.52785543983765,11.8392557686352,10,10.6806081768704
-2.29272968921486,7.13996602090193,5,5.24805613709991
-0.799895818635203,16.7887430273586,15,16.3943278590432
-1.87967332822415,9.55755340822597,8,8.03745663216022
-0.000720988872505895,21.6134934593236,23,21.8707277332327
-0.481564354233627,18.8411230677145,19,18.736579020884
-0.455435963560681,19.0027881957716,19,18.9202193869716
-0.140514147728409,20.8542568728658,20,21.0149276739127
0.64565869090997,24.5553888254967,25,25.2083482490609
0.913803928091234,25.4880786372517,26,26.2984134009803
-1.01985527265679,15.3034737972684,14,14.6879079544773
-1.96622746595596,9.02371025045949,9,7.42062935170621
0.452777525015609,23.7795064895655,24,24.3192785304031
1.27376953386201,26.4854466331027,27,27.5155749177516
0.0732942148360042,21.9986659259809,22,22.3047476118911
-1.88886265126224,9.50027949191167,8,7.97124523530822
-1.10752767588489,14.7033762973898,14,13.9960954224908
0.4234427603618,23.6537736581584,24,24.176153694491
0.383741344390315,23.4803743749091,23,23.9790966657316
-1.85901844656932,9.68678470996506,8,8.18688480864834
-0.573153692021477,18.2656347428767,17,18.0818221583988
1.85763371348462,27.5761199883119,29,29
-0.0367875911459387,21.4215318759669,21,21.6544237091173
-1.17186684955309,14.2618745924589,14,13.486331405445
0.267978664951545,22.9536972494058,23,23.3824271205583
0.102260494480577,22.1461453852742,23,22.4709714756804
-1.27627691282856,13.545690713241,11,12.6581510237968
0.179672108494487,22.5311151041662,22,22.9051266211877
-0.725669160455821,17.2795633466364,16,16.9562359742641
-1.19435170533331,14.1075330079381,14,13.307979739408
-1.31014503309345,13.3139224344569,12,12.3898470745628
-1.14981770064229,14.4132222043673,13,13.6611509878009
1.02411954275567,25.8236997173588,26,26.6999537564808
0.653061143767011,24.5834054315639,25,25.2406884762527
0.36048880019945,23.377095594031,24,23.861889058312
-1.36503166526094,12.9393280820726,13,11.9559544089156
-0.524453921995653,18.5733024977539,18,18.4320706217085
-1.95887252566463,9.06857192982126,7,7.47243737608074
-0.442131093523575,19.0846663516115,19,19.0131784201858
0.509958618913336,24.0187358151646,25,24.5922337633341
-0.56404879572406,18.3234370914247,17,18.1476595023444
1.5974783188338,27.1605795370724,28,28.4028343649336
-0.18473390511334,20.6057326609176,21,20.734528100123
-0.561473383071711,18.3397639234481,18,18.1662529529768
0.338717134250489,23.2792456908006,23,23.7509429878999
-0.517449960451049,18.6172425075003,19,18.4820540176963
-0.939762765791316,15.8485691979624,13,15.3151707337439
-1.32011078573439,13.2458057808128,13,12.3109690492614
-0.654374283975537,17.744546167157,18,17.4875733680285
-1.32681070926807,13.2000347471859,13,12.2579612504691
-0.211337026145758,20.4543398281481,20,20.5636233803471
-1.34464638898255,13.0782876219409,11,12.1169438089669
-1.05506766869487,15.06277415515,13,14.4105748923724
-1.99058655612946,8.87582349236177,7,7.24987776274393
-1.65115145172034,11.0220389376703,10,9.73303701343628
-1.28609104689326,13.478489710012,13,12.5803697732349
0.505601823178821,24.0007811576827,24,24.5717164163979
0.0537349701013861,21.8980383016967,22,22.1913486770512
-1.23906819087027,13.8007129617641,14,12.953218954712
-0.214370790390026,20.4369867207193,20,20.5440287659518
-0.544049747924686,18.4499502882306,18,18.2917022503902
0.157701281796751,22.4232200841337,23,22.7833980559133
-0.571102670936463,18.2786667288869,18,18.0966671136904
1.33980284493801,26.6390380643422,28,27.7112001973175
-0.638471655726608,17.8473242566133,17,17.6048834986461
-0.73376241447498,17.2263648177938,16,16.8953834563938
-1.62061659192831,11.2228990697841,11,9.96589006302879
-0.845572020441702,16.4836959895612,16,16.0445809709149
1.29763983893969,26.5419602475609,27,27.5872132036628
-0.339576283673623,19.705395584287,20,19.7168652854066
0.194191845981851,22.6018199480953,22,22.9849225290735
-2.08380494590569,8.32013334960698,7,6.60869058935168
0.884688515061405,25.3948986559482,26,26.187992232681
-0.028104107196328,21.4680018451479,21,21.7067886633387
-0.434544052979882,19.1312213946085,19,19.0660193366714
1.85763371348462,27.5761199883119,29,29
-1.8482964024619,9.75413592898343,9,8.26477869916252
-0.840676470371701,16.5164914462249,16,16.0822006621185
0.0712250280274144,21.9880601099052,22,22.2927951584185
-0.560515675923162,18.3458326939786,18,18.1731639067442
-2.13786210475947,8.00575617101856,6,6.24617488676609
-1.67489508511076,10.8666104577254,9,9.55288655945281
-0.569630748368076,18.2880152098228,18,18.1073156181618
0.836069119573316,25.2349519930672,26,25.9993712417439
-1.73152602809836,10.4987413331271,10,9.12665786461874
0.731846656103198,24.8735544762871,25,25.5768662189451
-1.59558311204694,11.3883530301755,11,10.1577273954595
-0.545696588570769,18.4395560472928,19,18.2798707411506
-1.70712662818358,10.6567320112812,9,9.30968363258654
-1.59082222880796,11.4198960629314,10,10.1943027203786
0.375568025654362,23.4442163147292,24,23.9380491235792
